,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
257,airai,48.0,TL,2018-11-13,59.0,-8.93,125.41,83.11,1.21
258,karpogory,80.0,RU,2018-11-13,78.0,64.0,44.44,27.36,9.86
259,kadiri,0.0,IN,2018-11-13,32.0,14.11,78.16,86.49,5.91
260,torbay,90.0,CA,2018-11-13,74.0,47.66,-52.73,33.8,24.16
261,qarchi gak,0.0,AF,2018-11-13,52.0,37.04,66.79,44.6,4.7
262,udachnyy,0.0,RU,2018-11-13,53.0,66.42,112.4,-19.0,3.11
263,okato,0.0,NZ,2018-11-13,85.0,-39.19,173.88,62.14,11.1
264,sao gabriel da cachoeira,56.0,BR,2018-11-13,94.0,-0.13,-67.09,77.49,2.37
265,zhigansk,56.0,RU,2018-11-13,56.0,66.77,123.37,-5.27,3.56
266,daru,48.0,SL,2018-11-13,94.0,7.99,-10.85,71.46,2.89
267,zvishavane,0.0,ZW,2018-11-13,43.0,-20.32,30.05,70.24,4.56
268,yerbogachen,48.0,RU,2018-11-13,55.0,61.28,108.01,-5.59,4.9
269,sergeyevka,64.0,KZ,2018-11-13,79.0,53.88,67.42,22.95,9.26
270,mahon,20.0,IE,2018-11-13,93.0,51.89,-8.4,41.0,8.05
271,misratah,12.0,LY,2018-11-13,98.0,32.38,15.09,67.41,10.76
272,cidreira,20.0,BR,2018-11-13,83.0,-30.17,-50.22,72.58,15.41
273,cherdakly,0.0,RU,2018-11-13,85.0,54.36,48.84,17.6,4.47
274,kokopo,48.0,PG,2018-11-13,100.0,-4.34,152.27,81.27,9.64
275,bafoulabe,76.0,ML,2018-11-13,51.0,13.81,-10.83,69.57,6.4
276,taoudenni,0.0,ML,2018-11-13,40.0,22.68,-3.98,53.41,3.56
277,bambanglipuro,88.0,ID,2018-11-13,91.0,-7.95,110.28,83.38,4.61
278,coron,8.0,FR,2018-11-13,100.0,47.13,-0.65,44.6,3.36
279,dunda,92.0,IN,2018-11-13,75.0,30.62,78.32,49.23,1.81
280,barsovo,90.0,RU,2018-11-13,92.0,61.17,73.17,26.6,11.18
281,nivala,68.0,FI,2018-11-13,96.0,63.93,24.96,41.58,9.75
282,miri,0.0,NG,2018-11-13,57.0,10.31,9.75,61.29,3.27
283,mar del plata,12.0,AR,2018-11-13,44.0,-46.43,-67.52,60.34,13.33
284,portland,1.0,US,2018-11-13,59.0,45.52,-122.67,42.98,5.82
285,broome,0.0,GB,2018-11-13,87.0,52.47,1.45,46.76,12.75
286,bayan,24.0,MN,2018-11-13,51.0,47.25,107.54,33.3,6.02
287,vestmannaeyjar,75.0,IS,2018-11-13,100.0,63.44,-20.27,39.2,5.82
288,maumee,90.0,US,2018-11-13,88.0,41.56,-83.65,35.06,4.7
289,mehamn,75.0,NO,2018-11-13,93.0,71.03,27.85,41.0,11.41
290,boyolangu,100.0,ID,2018-11-13,87.0,-8.09,111.9,80.91,4.05
291,nouadhibou,0.0,MR,2018-11-13,82.0,20.93,-17.03,64.4,12.75
292,haimen,24.0,CN,2018-11-13,69.0,31.87,121.18,62.82,10.6
293,cairns,20.0,AU,2018-11-13,45.0,-16.92,145.77,84.2,18.34
294,nanma,32.0,CN,2018-11-13,49.0,35.7,113.14,54.13,4.61
295,tshikapa,56.0,CD,2018-11-13,95.0,-6.42,20.79,72.36,2.33
296,rundu,0.0,NA,2018-11-13,15.0,-17.91,19.77,74.11,8.03
